    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 5224,       6729134,         6723922,           9939,     97417,       18991,        680,   13642476,      6723922,       27325,   113207,      60053,       481
 5225,       6729547,         6724334,           8917,    100412,       18758,        496,   13647700,      6724334,       26597,   113219,      60077,       509
 5226,       6732275,         6727061,           8330,    104939,       18628,        480,   13652925,      6727061,       26625,   113300,      60111,       481
 5227,       6735103,         6729888,           8769,     99585,       18780,        461,   13658151,      6729888,       26288,   113318,      60111,       500
 5228,       6739601,         6734385,           8284,    100167,       18724,        504,   13663378,      6734385,       27063,   113406,      60161,       450
 5229,       6741130,         6735913,           8608,     97953,       18929,        525,   13668606,      6735913,       29805,   113321,      60087,       550
 5230,       6744232,         6739014,          10943,     95988,       18878,        639,   13673835,      6739014,       35556,   113286,      60109,       520
 5231,       6748244,         6743025,          10628,     98328,       18963,        736,   13679065,      6743025,       35044,   113374,      60114,       558
 5232,       6752376,         6747156,          12043,     98536,       18761,        635,   13684296,      6747156,       34953,   113420,      60133,       544
 5233,       6753395,         6748174,          10311,    102578,       18751,        563,   13689528,      6748174,       33877,   113415,      60124,       618
 5234,       6753717,         6748495,          11715,     96170,       18923,        662,   13694761,      6748495,       41273,   113463,      60152,       764
 5235,       6756528,         6751305,          11905,    102869,       18891,        714,   13699995,      6751305,       35972,   113551,      60194,       545
 5236,       6761220,         6755996,          10474,     99370,       18818,        519,   13705230,      6755996,       31827,   113448,      60136,       557
 5237,       6765794,         6760569,           9706,     97550,       18954,        544,   13710466,      6760569,       30750,   113541,      60173,       536
 5238,       6766990,         6761764,          10772,     98406,       18872,        535,   13715703,      6761764,       30215,   113541,      60242,       555
 5239,       6768034,         6762807,          10135,    102474,       18760,        514,   13720941,      6762807,       29641,   113567,      60211,       480
 5240,       6770732,         6765504,           9699,    102271,       18733,        553,   13726180,      6765504,       28318,   113566,      60212,       772
 5241,       6773545,         6768316,           9838,     97672,       18962,        507,   13731420,      6768316,       31729,   113656,      60293,       516
 5242,       6777938,         6772708,          10436,    112926,       18683,        578,   13736661,      6772708,       35077,   113658,      60264,       669
 5243,       6779698,         6774467,          12722,    100000,       18945,        788,   13741903,      6774467,       33844,   113716,      60340,       505
 5244,       6784782,         6779550,           9849,    102256,       18809,        538,   13747146,      6779550,       31963,   113704,      60272,       551
 5245,       6787769,         6782536,          11313,    102467,       18845,        558,   13752390,      6782536,       34690,   113678,      60291,       633
 5246,       6791067,         6785833,          12003,     98712,       18953,        681,   13757635,      6785833,       32581,   113728,      60251,       511
 5247,       6795605,         6790370,          10298,     96288,       19131,        577,   13762881,      6790370,       27474,   113752,      60328,       514
 5248,       6800306,         6795070,           9734,     98410,       18999,        519,   13768128,      6795070,       30965,   113812,      60335,       554
 5249,       6804350,         6799113,           9347,    101123,       18795,        477,   13773376,      6799113,       28569,   113819,      60371,       517
 5250,       6805032,         6799794,          10006,    101826,       18899,        550,   13778625,      6799794,       28715,   113927,      60393,       719
 5251,       6805156,         6799917,          10297,    104972,       18661,        548,   13783875,      6799917,       30428,   113867,      60382,       547
