     n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   658,        110598,          109950,            142,      9571,        1885,         52,     216153,       109950,         436,    10320,       5613,        60
   659,        110818,          110169,            158,      8705,        1932,         60,     216811,       110169,         420,    10350,       5638,        48
   660,        111071,          110421,            142,     10149,        1904,         54,     217470,       110421,         407,    10352,       5628,        53
   661,        111722,          111071,            177,      9327,        1885,         59,     218130,       111071,         511,    10389,       5654,        61
   662,        111901,          111249,            200,      9166,        1931,         69,     218791,       111249,         454,    10403,       5652,        59
   663,        112421,          111768,            207,      8995,        1939,         53,     219453,       111768,         454,    10391,       5649,        48
   664,        112904,          112250,            158,      9072,        1945,         52,     220116,       112250,         367,    10420,       5653,        46
   665,        113520,          112865,            170,      9540,        1955,         60,     220780,       112865,         437,    10447,       5672,        48
   666,        114133,          113477,            146,      9612,        1961,         53,     221445,       113477,         388,    10456,       5670,        47
   667,        114545,          113888,            142,      9084,        1940,         49,     222111,       113888,         373,    10481,       5703,        47
   668,        115160,          114502,            143,      8815,        1949,         49,     222778,       114502,         373,    10509,       5701,        46
   669,        115163,          114504,            143,      9926,        1937,         99,     223446,       114504,         486,    10535,       5717,        49
   670,        115417,          114757,            173,     10257,        1917,         52,     224115,       114757,         448,    10560,       5742,        47
   671,        115556,          114895,            144,      9168,        1975,         51,     224785,       114895,         415,    10553,       5722,        49
   672,        116147,          115485,            148,      9135,        1987,         53,     225456,       115485,         389,    10579,       5744,        50
   673,        116418,          115755,            151,      8782,        1970,         53,     226128,       115755,         421,    10604,       5764,        66
   674,        116921,          116257,            205,      8623,        2013,         52,     226801,       116257,         395,    10619,       5768,        49
   675,        117530,          116865,            190,      8972,        1982,         53,     227475,       116865,         449,    10637,       5774,        58
   676,        118167,          117501,            190,      9229,        2000,         54,     228150,       117501,         476,    10635,       5782,        68
   677,        118517,          117850,            168,      9802,        1960,         52,     228826,       117850,         435,    10694,       5821,        48
   678,        119171,          118503,            148,      9376,        1985,         51,     229503,       118503,         429,    10698,       5812,        49
   679,        119612,          118943,            153,      9709,        1968,         54,     230181,       118943,         405,    10716,       5822,        48
   680,        119842,          119172,            149,      9877,        1985,         51,     230860,       119172,         381,    10738,       5831,        47
   681,        120144,          119473,            149,      9039,        2004,         75,     231540,       119473,         446,    10750,       5826,        49
   682,        120411,          119739,            169,      9641,        1986,         65,     232221,       119739,         632,    10750,       5844,        64
   683,        121004,          120331,            206,      9250,        1985,         52,     232903,       120331,         501,    10811,       5872,        50
   684,        121411,          120737,            191,      9847,        1981,         74,     233586,       120737,         433,    10823,       5878,        50
   685,        121858,          121183,            155,      8899,        2012,         54,     234270,       121183,         403,    10813,       5868,        51
   686,        122419,          121743,            157,      9634,        1997,         53,     234955,       121743,         403,    10834,       5878,        50
   687,        122455,          121778,            158,     10548,        1954,         54,     235641,       121778,         413,    10864,       5903,        52
   688,        122928,          122250,            158,      9199,        2036,         54,     236328,       122250,         408,    10895,       5929,        50
   689,        123221,          122542,            159,     10116,        2000,         55,     237016,       122542,         452,    10913,       5921,        73
   690,        123805,          123125,            168,      9834,        2017,         70,     237705,       123125,         425,    10905,       5920,        50
   691,        123992,          123311,            158,      9390,        2010,         53,     238395,       123311,         433,    10933,       5954,        50
   692,        124386,          123704,            158,      9594,        2019,         55,     239086,       123704,         407,    10951,       5941,        50
   693,        124917,          124234,            160,     10052,        2031,         56,     239778,       124234,         559,    10980,       5959,        66
   694,        125020,          124336,            259,      9385,        2033,         55,     240471,       124336,         592,    10995,       5963,        66
   695,        125612,          124927,            160,      9372,        2025,         55,     241165,       124927,         419,    11005,       5970,        51
   696,        125911,          125225,            241,      9247,        2051,         55,     241860,       125225,         449,    11026,       5984,        49
   697,        126252,          125565,            193,      9471,        2061,         53,     242556,       125565,         425,    11053,       6002,        81
   698,        126294,          125606,            186,     10200,        2025,         55,     243253,       125606,         449,    11092,       6017,        49
   699,        126807,          126118,            158,      9968,        2024,         52,     243951,       126118,         427,    11087,       6021,        52
   700,        127344,          126654,            158,      9755,        2086,         53,     244650,       126654,         401,    11115,       6043,        50
   701,        127833,          127142,            163,      9646,        2040,         53,     245350,       127142,         437,    11128,       6043,        51
   702,        128129,          127437,            165,      9486,        2095,         56,     246051,       127437,         416,    11160,       6056,        51
   703,        128605,          127912,            164,      9893,        2015,         55,     246753,       127912,         449,    11194,       6087,        52
   704,        128801,          128107,            206,     10002,        2075,         87,     247456,       128107,         688,    11196,       6084,        59
   705,        129250,          128555,            205,      9691,        2060,         76,     248160,       128555,         564,    11199,       6066,        66
   706,        129805,          129109,            260,      9823,        2065,         68,     248865,       129109,         495,    11217,       6092,        60
   707,        129862,          129165,            264,     10123,        2048,         75,     249571,       129165,         435,    11241,       6116,        54
   708,        130349,          129651,            181,      9609,        2117,         56,     250278,       129651,         428,    11271,       6112,        51
   709,        130727,          130028,            166,     10052,        2096,         56,     250986,       130028,         420,    11277,       6133,        51
   710,        130911,          130211,            168,     10152,        2084,         55,     251695,       130211,         423,    11322,       6150,        52
   711,        131216,          130515,            168,     10473,        2070,         56,     252405,       130515,         491,    11298,       6140,        51
   712,        131739,          131037,            168,     10029,        2072,         55,     253116,       131037,         492,    11339,       6152,        70
